name_en,color_en,sku,price_usd,price_eur,instock,description_en,description_de,category_en,active,image_main,image_alt,image_alt2,image_alt3
All in One 120g,,5191,1.49,1.49,1,,,Toko,1,5191_1.jpg,5191_1.jpg,5191_1.jpg,5191_1.jpg
Repair Candle 6 mm,,5203,5.99,5.99,1,,,Toko,1,5203_1.jpg,5203_1.jpg,5203_1.jpg,5203_1.jpg
Board Grip,,7907,14.99,14.99,1,,,Toko,1,7907_1.jpg,7907_1.jpg,7907_1.jpg,7907_1.jpg
Base Brush Combi Nylon/Copper,,21618,12.49,12.49,1,,,Toko,1,21618_1.jpg,21618_1.jpg,21618_1.jpg,21618_1.jpg
The Rotolog,,29160,2.49,2.49,1,Features: custom right-read direct time japanes quartz movement with LED  custom stainless steel case with hardened mineral crystal  real walnut wood or enamel inlay (depending on the colour)  double gasket crown  custom solid stainles steel band with real walnut wood or enamel inlay (depending on the colour) and butterfly closure  30 m waterproof </p>,,Nixon,1,29160_1.jpg,29160_1.jpg,29160_1.jpg,29160_1.jpg
Snowboard Ski Tool Toko Side Edge Angle Pro 88 Grad,,29531,9.99,9.99,1,,,Tools,1,29531_1.jpg,29531_1.jpg,/96Wx96H/29531_1.jpg,29531_1.jpg
Snowboard Ski Tool Toko Side Edge Tuning Angle Pro 87 Grad,,29532,14.99,14.99,1,,,Tools,1,29532_1.jpg,29532_1.jpg,/96Wx96H/29532_1.jpg,29532_1.jpg
Snowboard Ski Tool Toko Ergo Multi Guide yellow,,29533,29.99,29.99,1,,,Ski Gear,1,29533_1.jpg,29533_1.jpg,/96Wx96H/29533_1.jpg,29533_1.jpg
Wayne Lynch 6.3,,29867,4.99,4.99,1,"Wayne Lynch is one of the primary pioneers of the 70s shortboard revolution. This ""fun"" range is a development from his performance range. Slighty wider with a touch more volume with slighty softer curves. But boy do they have power!! Tuflite contruction, Round Pin Tail </p><p></p><p><br />Information about shipping costs:</p><p>For the shipment of surfboards within the European Union we have to add 40 EUR shipping costs, outside the European Union 80 EUR have to be added.<br />The shipment will be done by DHL including transport incurance.<br />After ordering your surfboard, you will be contacted by our customer service concerning the shipping costs.",,Surftech,1,29867_1.jpg,29867_1.jpg,29867_1.jpg,29867_1.jpg
Shades Von Zipper Papa G black gloss black gloss/grey,,30404,6.99,6.99,1,,,Von Zipper,1,30404_1.jpg,30404_1.jpg,/96Wx96H/30404_1.jpg,30404_1.jpg
The Rotolog,,36265,12.49,12.49,1,,,Nixon,1,36265_1.jpg,36265_1.jpg,36265_1.jpg,36265_1.jpg
The Sentry,,43339,3.99,3.99,1,Features: 3 hand Japanese quartz movement with day and date  stainless steel case with hardened mineral crystal  enamel fill triple gasket crown  Polyurethane band with patented locking looper and stainless steel buckle  100 m waterproof </p>,,Nixon,1,43339_1.jpg,43339_1.jpg,43339_1.jpg,43339_1.jpg
Snowboard Ski Tool Toko Waxremover HC3 500ml,,45572,12.49,12.49,1,,,Ski Gear,1,45572_1.jpg,45572_1.jpg,/96Wx96H/45572_1.jpg,45572_1.jpg
Snowboard Ski Tool Toko Scraper Sharpener World Cup,,45573,19.99,19.99,1,,,Ski Gear,1,45573_1.jpg,45573_1.jpg,/96Wx96H/45573_1.jpg,45573_1.jpg
Snowboard Ski Tool Toko Plexiklinge 3 mm/flexibel,,45574,1.99,1.99,1,,,Ski Gear,1,45574_1.jpg,45574_1.jpg,/96Wx96H/45574_1.jpg,45574_1.jpg
Snowboard Ski Tool Toko Skibê_rste Kombi Nylon/Kupfer,,45576,2.49,2.49,1,,,Ski Gear,1,45576_1.jpg,45576_1.jpg,/96Wx96H/45576_1.jpg,45576_1.jpg
Snowboard Ski Tool Toko Thermo Pad,,45577,4.99,4.99,1,,,Ski Gear,1,45577_1.jpg,45577_1.jpg,/96Wx96H/45577_1.jpg,45577_1.jpg
The Iris Women,,51411,19.99,19.99,1,,,Nixon,1,51411_1.jpg,51411_1.jpg,51411_1.jpg,51411_1.jpg
Overtime Belt Women,,63500,12.49,12.49,1,,,Belts women,1,63500_1.jpg,63500_1.jpg,63500_1.jpg,63500_1.jpg
The Vega Women,,64389,29.99,29.99,1,Features: 3 hand Japanese quartz movement  Custom polycarbonate case with hardened mineral crystal and stainless steel caseback  Custom one-size polycarbonate band with stretch </p>,,Nixon,1,64389_1.jpg,64389_1.jpg,64389_1.jpg,64389_1.jpg
Torbacula Belt,,74010,26.99,26.99,1,,,Belts,1,74010_1.jpg,74010_1.jpg,74010_1.jpg,74010_1.jpg
DMT Diamond File,,74036,39.99,39.99,1,,,Toko,1,74036_1.jpg,74036_1.jpg,74036_1.jpg,74036_1.jpg
The Sentry,,74825,5.99,5.99,1,Features: 3 hand Japanese quartz movement with day and date  stainless steel case with hardened mineral crystal  enamel fill triple gasket crown  Polyurethane band with patented locking looper and stainless steel buckle  100 m waterproof </p>,,Nixon,1,74825_1.jpg,74825_1.jpg,74825_1.jpg,74825_1.jpg
