name_en,parent
Apparel,
Accessories,Apparel
T-shirts,Apparel
Sunglasses,Accessories
Men's T-shirts,T-shirts
Women's T-shirts,T-shirts
Kitchen,
Beer mugs,Kitchen
Coffee cups,Kitchen
Drinking bottles,Kitchen
Thermos bottles,Drinking bottles
Water bottles,Drinking bottles
Office,
Coffee mugs,Office
Computer accessories,Office
Notebooks & pens,Office
Sports,
Sports bottles,Sports
Running,Sports
Toys & games,Sports
Insulated bottles,Sports bottles
H2O bottles,Sports bottles
Caps,Running
Sports T-shirts,Running
Hydration,Running
